timestamp,dtemp,iin,gpi,vcap,vcap1,vcap2,vcap3,vcap4,vin,vout
10:14:48, 51.1 °C,   -3 mV,   24 mV, 4207 mV, 2113 mV, 2100 mV,    0 mV,    0 mV,   13 mV, 4873 mV
10:14:49, 51.0 °C,   -3 mV,   20 mV, 4189 mV, 2103 mV, 2091 mV,    0 mV,   -0 mV,   18 mV, 4875 mV
10:14:50, 51.0 °C,   -3 mV,   20 mV, 4168 mV, 2093 mV, 2080 mV,   -0 mV,    0 mV,   15 mV, 4873 mV
10:14:51, 51.0 °C,   -3 mV,   24 mV, 4145 mV, 2083 mV, 2070 mV,    0 mV,    0 mV,   15 mV, 4873 mV
10:14:52, 50.9 °C,   -3 mV,   22 mV, 4127 mV, 2072 mV, 2059 mV,   -0 mV,    0 mV,   13 mV, 4871 mV
10:14:53, 50.9 °C,   -3 mV,   20 mV, 4106 mV, 2063 mV, 2050 mV,   -0 mV,    0 mV,   15 mV, 4873 mV
10:14:54, 50.9 °C,   -3 mV,   22 mV, 4081 mV, 2052 mV, 2039 mV,   -0 mV,    0 mV,   18 mV, 4875 mV
10:14:55, 50.9 °C,   -3 mV,   20 mV, 4065 mV, 2041 mV, 2028 mV,    0 mV,    0 mV,   15 mV, 4873 mV
10:14:56, 50.8 °C,   -3 mV,   20 mV, 4043 mV, 2031 mV, 2019 mV,    0 mV,    0 mV,   13 mV, 4877 mV
10:14:57, 50.8 °C,   -3 mV,   22 mV, 4027 mV, 2021 mV, 2007 mV,    0 mV,   -0 mV,   18 mV, 4873 mV
10:14:58, 50.7 °C,   -3 mV,   20 mV, 4001 mV, 2011 mV, 1998 mV,    0 mV,    0 mV,   11 mV, 4875 mV
